RuleID,Description
R0355,Users should not modify /resource/3
R0356,Users should not access /resource/10 more than 5 times in an hour
R0357,Response time for accessing /resource/7 should be less than 500ms
R0358,Response time for accessing /resource/4 should be less than 500ms
R0359,Access to /resource/7 from SessionID 192.168.1.76 should be flagged
R0360,Access to /resource/4 between 15:00 and 16:00 should be flagged
R0361,Access to /resource/10 should not be from IP 192.168.1.38
R0362,Users should not delete /resource/9 on weekends
R0363,Response time for accessing /resource/7 should be less than 500ms
R0364,Response time for accessing /resource/8 should be less than 500ms
R0365,Access from IP /resource/5 should be monitored
R0366,Users should not access /resource/7 more than 5 times in an hour
R0367,Access to /resource/8 should not use the 192.168.1.40 method
R0368,Response time for accessing /resource/3 should be less than 500ms
R0369,Users should not delete /resource/7 on weekends
R0370,Access to /resource/6 from SessionID 192.168.1.74 should be flagged
R0371,Access to /resource/10 should not use the 192.168.1.58 method
R0372,Access to /resource/7 from SessionID 192.168.1.93 should be flagged
R0373,Response time for accessing /resource/7 should be less than 500ms
R0374,Modification of /resource/4 should always be from IP 192.168.1.96
R0375,Access to /resource/10 between 15:00 and 16:00 should be flagged
R0376,Users should not delete /resource/4 more than 2 times in a day
R0377,Any access from UserAgent /resource/2 should be reviewed
R0378,Users should not modify /resource/10
R0379,Access to /resource/2 should result in success
R0380,Any access from UserAgent /resource/7 should be reviewed
R0381,Any access from UserAgent /resource/1 should be reviewed
R0382,Access to /resource/7 between 15:00 and 16:00 should be flagged
R0383,Access to /resource/9 should not be from IP 192.168.1.41
R0384,Access to /resource/8 should not be from IP 192.168.1.31
R0385,Access from IP /resource/1 should be monitored
R0386,Any access from UserAgent /resource/8 should be reviewed
R0387,Access to /resource/10 from SessionID 192.168.1.35 should be flagged
R0388,Access to /resource/6 from SessionID 192.168.1.78 should be flagged
R0389,Modification of /resource/8 should always be from IP 192.168.1.24
R0390,Access to /resource/2 should not be from IP 192.168.1.29
R0391,Access to /resource/6 should not use the 192.168.1.6 method
R0392,Users should not delete /resource/2 more than 2 times in a day
R0393,Users should not access /resource/4 more than 5 times in an hour
R0394,Modification of /resource/5 should always be from IP 192.168.1.19
R0395,Users should not access /resource/1 more than 5 times in an hour
R0396,Response time for accessing /resource/2 should be less than 500ms
R0397,Any access from UserAgent /resource/1 should be reviewed
R0398,Access to /resource/7 should not be from IP 192.168.1.89
R0399,Access to /resource/1 between 15:00 and 16:00 should be flagged
R0400,Modification of /resource/1 should always be from IP 192.168.1.57
R0401,Response time for accessing /resource/10 should be less than 500ms
R0402,Access to /resource/6 should not be from IP 192.168.1.54
R0403,Any access to /resource/3 resulting in a 192.168.1.70 response code should be reviewed
R0404,Access to /resource/2 between 15:00 and 16:00 should be flagged
R0405,Access from IP /resource/6 should be monitored
R0406,Access to /resource/1 should result in success
R0407,Access to /resource/5 should not be from IP 192.168.1.16
R0408,Access to /resource/9 should result in success
R0409,Users should not access /resource/6 between 12:00 and 13:00
R0410,Modification of /resource/10 should always be from IP 192.168.1.46
R0411,Response time for accessing /resource/6 should be less than 500ms
R0412,Access from IP /resource/4 should be monitored
R0413,Any access to /resource/8 resulting in a 192.168.1.73 response code should be reviewed
R0414,Access from IP /resource/4 should be monitored
R0415,Access to /resource/6 from SessionID 192.168.1.20 should be flagged
R0416,Any access to /resource/1 resulting in a 192.168.1.71 response code should be reviewed
R0417,Access from IP /resource/1 should be monitored
R0418,Access to /resource/6 should result in success
R0419,Any access from UserAgent /resource/9 should be reviewed
R0420,Access to /resource/4 should not use the 192.168.1.35 method
R0421,Access to /resource/2 should result in success
R0422,Any access from UserAgent /resource/8 should be reviewed
R0423,Response time for accessing /resource/1 should be less than 500ms
R0424,Users should not access /resource/1 more than 5 times in an hour
R0425,Users should not modify /resource/2
R0426,Any access from UserAgent /resource/7 should be reviewed
R0427,Users should not delete /resource/10 more than 2 times in a day
R0428,Access to /resource/1 from SessionID 192.168.1.62 should be flagged
R0429,Access from IP /resource/3 should be monitored
R0430,Any access from UserAgent /resource/10 should be reviewed
R0431,Access from IP /resource/1 should be monitored
R0432,Access to /resource/3 should not be from IP 192.168.1.58
R0433,Access to /resource/7 should result in success
R0434,Access to /resource/10 from SessionID 192.168.1.41 should be flagged
R0435,Modification of /resource/10 should always be from IP 192.168.1.12
R0436,Users should not access /resource/4 between 12:00 and 13:00
R0437,Access to /resource/4 should not be from IP 192.168.1.40
R0438,Access to /resource/8 between 15:00 and 16:00 should be flagged
R0439,Users should not access /resource/9 more than 5 times in an hour
R0440,Users should not access /resource/4 between 12:00 and 13:00
R0441,Users should not delete /resource/3 more than 2 times in a day
R0442,Users should not delete /resource/8 more than 2 times in a day
R0443,Response time for accessing /resource/5 should be less than 500ms
R0444,Modification of /resource/6 should always be from IP 192.168.1.56
R0445,Access to /resource/8 between 15:00 and 16:00 should be flagged
R0446,Any access from UserAgent /resource/10 should be reviewed
R0447,Users should not delete /resource/10 more than 2 times in a day
R0448,Access to /resource/2 from SessionID 192.168.1.29 should be flagged
R0449,Any access from UserAgent /resource/8 should be reviewed
R0450,Modification of /resource/7 should always be from IP 192.168.1.87
R0451,Access to /resource/2 from SessionID 192.168.1.72 should be flagged
R0452,Access to /resource/7 should not use the 192.168.1.41 method
R0453,Access to /resource/10 should not use the 192.168.1.54 method
R0454,Any access from UserAgent /resource/1 should be reviewed
R0455,Access to /resource/3 from SessionID 192.168.1.7 should be flagged
R0456,Access to /resource/7 should not be from IP 192.168.1.37
R0457,Any access from UserAgent /resource/10 should be reviewed
R0458,Users should not modify /resource/3
R0459,Access to /resource/9 from SessionID 192.168.1.94 should be flagged
R0460,Access to /resource/1 should not use the 192.168.1.86 method
R0461,Access to /resource/4 should not use the 192.168.1.60 method
R0462,Access from IP /resource/1 should be monitored
R0463,Users should not access /resource/9 between 12:00 and 13:00
R0464,Access to /resource/2 between 15:00 and 16:00 should be flagged
R0465,Access to /resource/10 should not be from IP 192.168.1.34
R0466,Any access to /resource/5 resulting in a 192.168.1.40 response code should be reviewed
R0467,Access to /resource/9 should not be from IP 192.168.1.61
R0468,Users should not modify /resource/4
R0469,Access to /resource/1 should result in success
R0470,Any access from UserAgent /resource/8 should be reviewed
R0471,Modification of /resource/3 should always be from IP 192.168.1.15
R0472,Access from IP /resource/4 should be monitored
R0473,Users should not delete /resource/4 more than 2 times in a day
R0474,Any access to /resource/7 resulting in a 192.168.1.47 response code should be reviewed
R0475,Access to /resource/8 should result in success
R0476,Users should not delete /resource/3 more than 2 times in a day
R0477,Access to /resource/9 from SessionID 192.168.1.58 should be flagged
R0478,Access to /resource/1 should not be from IP 192.168.1.29
R0479,Access to /resource/2 should not be from IP 192.168.1.13
R0480,Access to /resource/4 should result in success
R0481,Users should not delete /resource/4 on weekends
R0482,Users should not delete /resource/7 on weekends
R0483,Users should not delete /resource/5 on weekends
R0484,Any access from UserAgent /resource/7 should be reviewed
R0485,Users should not modify /resource/1
R0486,Response time for accessing /resource/7 should be less than 500ms
R0487,Any access from UserAgent /resource/8 should be reviewed
R0488,Access from IP /resource/4 should be monitored
R0489,Users should not access /resource/6 between 12:00 and 13:00
R0490,Users should not access /resource/9 between 12:00 and 13:00
R0491,Access to /resource/8 between 15:00 and 16:00 should be flagged
R0492,Access from IP /resource/3 should be monitored
R0493,Access to /resource/1 should result in success
R0494,Users should not access /resource/5 more than 5 times in an hour
R0495,Access to /resource/8 should result in success
R0496,Access to /resource/7 should result in success
R0497,Access to /resource/2 from SessionID 192.168.1.41 should be flagged
R0498,Access to /resource/6 between 15:00 and 16:00 should be flagged
R0499,Access from IP /resource/7 should be monitored
R0500,Access from IP /resource/5 should be monitored
R0501,Any access to /resource/1 resulting in a 192.168.1.31 response code should be reviewed
R0502,Any access from UserAgent /resource/3 should be reviewed
R0503,Access to /resource/2 should result in success
R0504,Users should not modify /resource/10
R0505,Access to /resource/9 from SessionID 192.168.1.65 should be flagged
R0506,Users should not delete /resource/5 more than 2 times in a day
R0507,Access to /resource/9 from SessionID 192.168.1.24 should be flagged
R0508,Access to /resource/4 should result in success
R0509,Access to /resource/10 should not be from IP 192.168.1.60
R0510,Access to /resource/4 should not use the 192.168.1.59 method
R0511,Users should not modify /resource/3
R0512,Access to /resource/5 between 15:00 and 16:00 should be flagged
R0513,Users should not access /resource/9 more than 5 times in an hour
R0514,Response time for accessing /resource/7 should be less than 500ms
R0515,Any access to /resource/8 resulting in a 192.168.1.72 response code should be reviewed
R0516,Users should not delete /resource/8 on weekends
R0517,Access from IP /resource/4 should be monitored
R0518,Response time for accessing /resource/1 should be less than 500ms
R0519,Access to /resource/1 should not use the 192.168.1.62 method
R0520,Access to /resource/5 should not use the 192.168.1.53 method
R0521,Users should not access /resource/2 between 12:00 and 13:00
R0522,Any access from UserAgent /resource/2 should be reviewed
R0523,Response time for accessing /resource/4 should be less than 500ms
R0524,Users should not access /resource/5 more than 5 times in an hour
R0525,Users should not modify /resource/10
R0526,Any access from UserAgent /resource/3 should be reviewed
R0527,Users should not delete /resource/10 on weekends
R0528,Response time for accessing /resource/1 should be less than 500ms
R0529,Access to /resource/9 from SessionID 192.168.1.10 should be flagged
R0530,Response time for accessing /resource/3 should be less than 500ms
R0531,Users should not access /resource/9 between 12:00 and 13:00
R0532,Any access from UserAgent /resource/5 should be reviewed
R0533,Users should not delete /resource/7 on weekends
